CVE,CWE Type,Type,vul position,project,Bearer_reason,DevSkim_reason,Dlint_reason,Bandit_reason,Semgrep_reason,Codeql_reason,Pysa_reason,Project Type,Version
https://www.cve.org/CVERecord?id=CVE-2024-32024,22;664,path traversal,kohya_gui/common_gui.py:add_pre_postfix,https://github.com/bmaltais/kohya_ss,capability (RC3),no rule (RC1),no rule (RC1),no rule (RC1),rule implementation (RC1),detected,complex d/c-f source (RC2),webui,
https://www.cve.org/CVERecord?id=CVE-2024-32023,22;664,path traversal,kohya_gui/common_gui.py:find_replace,https://github.com/bmaltais/kohya_ss,capability (RC3),no rule (RC1),no rule (RC1),no rule (RC1),rule implementation (RC1),detected,complex d/c-f source (RC2),webui,
https://www.cve.org/CVERecord?id=CVE-2018-1000559,79;707,cross-site scripting,qutebrowser/browser/qutescheme.py:history_data,https://github.com/qutebrowser/qutebrowser,hard to detect (RC3),hard_to_detect (RC3),hard to detect (RC3),no rule (RC1),implicit sink (RC3),complex d/c-f source (RC2),no sink (RC1),command line tool,
https://www.cve.org/CVERecord?id=CVE-2023-38942,"94;664,707",code injection,ui/settin.py:Settin.getInitConfig,https://github.com/PantsuDango/Dango-Translatorhttps://github.com/PantsuDango/Dango-Translatorhttps://github.com/PantsuDango/Dango-Translatorhttps://github.com/PantsuDango/Dango-Translatorhttps://github.com/PantsuDango/Dango-Translator,detected,detected,detected,no rule (RC1),detected,complex d/c-f source (RC2),complex d/c-f source (RC2),app,
https://www.cve.org/CVERecord?id=CVE-2024-27763,77;707,Command Injection,basicsr/utils/dist_util.py:_init_dist_slurm,https://github.com/XPixelGroup/BasicSRhttps://github.com/XPixelGroup/BasicSR,no rule (RC1),no rule (RC1),no rule (RC1),detected,detected,interface-source (RC1),complex d/c-f source (RC2),command line tool,
https://www.cve.org/CVERecord?id=CVE-2016-10516,79;707,cross-site scripting,werkzeug/debug/tbtools.py:Traceback.render_full,https://github.com/pallets/werkzeughttps://github.com/pallets/werkzeughttps://github.com/pallets/werkzeug,capability (RC3),no rule (RC1),no rule (RC1),no rule (RC1),implicit sink (RC3),complex d/c-f source (RC2),no sink (RC1),web framework,
https://www.cve.org/CVERecord?id=CVE-2018-8097,"94;664,707",code injection,eve/io/mongo/parser.py:MongoVisitor.visit_Call,https://github.com/pyeve/evehttps://github.com/pyeve/evehttps://github.com/pyeve/eve,detected,detected,detected,no rule (RC1),detected,complex d/c-f source (RC2),complex d/c-f source (RC2),web framework,
https://www.cve.org/CVERecord?id=CVE-2024-8374,"94;664,707",code injection,plugins/3MFReader/ThreeMFReader.py:ThreeMFReader._convertSavitarNodeToUMNode,https://github.com/Ultimaker/Curahttps://github.com/Ultimaker/Curahttps://github.com/Ultimaker/Cura,no rule (RC1),detected,detected,no rule (RC1),detected,complex d/c-f source (RC2),complex d/c-f source (RC2),webui,
https://www.cve.org/CVERecord?id=CVE-2023-30605,89;707,sql injection,sql/instance.py:param_edit,https://github.com/hhyo/Archeryhttps://github.com/hhyo/Archeryhttps://github.com/hhyo/Archery,no rule (RC1),no rule (RC1),no rule (RC1),no rule (RC1),partial detected (RC3),complex d/c-f source (RC2),no sink (RC1),manage/monitor platform,
https://www.cve.org/CVERecord?id=CVE-2023-30558,89;707,sql injection,sql/data_dictionary.py:table_list,https://github.com/hhyo/Archeryhttps://github.com/hhyo/Archeryhttps://github.com/hhyo/Archery,hard to detect (RC3),hard_to_detect (RC3),hard to detect (RC3),no rule (RC1),partial detected (RC3),complex d/c-f source (RC2),no sink (RC1),manage/monitor platform,
https://www.cve.org/CVERecord?id=CVE-2023-30557,89;707,sql injection,sql/data_dictionary.py:table_info,https://github.com/hhyo/Archeryhttps://github.com/hhyo/Archeryhttps://github.com/hhyo/Archery,no rule (RC1),no rule (RC1),no rule (RC1),no rule (RC1),partial detected (RC3),complex d/c-f source (RC2),no sink (RC1),manage/monitor platform,
https://www.cve.org/CVERecord?id=CVE-2024-41810,79;707,cross-site scripting,src/twisted/web/_template_util.py:redirectTo,https://github.com/twisted/twistedhttps://github.com/twisted/twistedhttps://github.com/twisted/twisted,capability (RC3),no rule (RC1),no rule (RC1),no rule (RC1),implicit sink (RC3),complex d/c-f source (RC2),no sink (RC1),dev framework,
https://www.cve.org/CVERecord?id=CVE-2022-39348,79;707,cross-site scripting,src/twisted/web/vhost.py:NameVirtualHost._getResourceForRequest,https://github.com/twisted/twistedhttps://github.com/twisted/twistedhttps://github.com/twisted/twisted,capability (RC3),no rule (RC1),no rule (RC1),no rule (RC1),implicit sink (RC3),complex d/c-f source (RC2),no sink (RC1),dev framework,
https://www.cve.org/CVERecord?id=CVE-2021-43775,22;664,path traversal,aim/web/api/views.py:serve_static_files,https://github.com/aimhubio/aimhttps://github.com/aimhubio/aimhttps://github.com/aimhubio/aim,detected,no rule (RC1),no rule (RC1),no rule (RC1),no sink (RC1),detected,no sink (RC1),webui,
https://www.cve.org/CVERecord?id=CVE-2021-21386,78;707,OS Command Injection,apkleaks/apkleaks.py:APKLeaks.decompile,https://github.com/dwisiswant0/apkleakshttps://github.com/dwisiswant0/apkleakshttps://github.com/dwisiswant0/apkleaks,detected,no rule (RC1),detected,detected,detected,complex d/c-f source (RC2),complex d/c-f source (RC2),command line tool,
https://www.cve.org/CVERecord?id=CVE-2022-24710,79;707,cross-site scripting,weblate/trans/views/reports.py:get_credits; weblate/trans/views/reports.py:get_counts,https://github.com/WeblateOrg/weblatehttps://github.com/WeblateOrg/weblatehttps://github.com/WeblateOrg/weblate,no rule (RC1),no rule (RC1),no rule (RC1),no rule (RC1),implicit sink (RC3),no-source (RC1),no sink (RC1),app,
https://www.cve.org/CVERecord?id=CVE-2020-11010,89;707,sql injection,tortoise/backends/mysql/executor.py:mysql_contains; tortoise/backends/mysql/executor.py:mysql_starts_with; tortoise/backends/mysql/executor.py:mysql_ends_with; tortoise/backends/mysql/executor.py:mysql_insensitive_contains; tortoise/backends/mysql/executor.py:mysql_insensitive_starts_with; tortoise/backends/mysql/executor.py:mysql_insensitive_ends_with; tortoise/filters.py:contains; tortoise/filters.py:starts_with; tortoise/filters.py:ends_with; tortoise/filters.py:insensitive_contains; tortoise/filters.py:insensitive_starts_with; tortoise/filters.py:insensitive_ends_with,https://github.com/tortoise/tortoise-ormhttps://github.com/tortoise/tortoise-ormhttps://github.com/tortoise/tortoise-ormhttps://github.com/tortoise/tortoise-ormhttps://github.com/tortoise/tortoise-orm,no rule (RC1),no rule (RC1),no rule (RC1),no rule (RC1),partial detected (RC3),complex d/c-f source (RC2),no sink (RC1),ORM,
https://www.cve.org/CVERecord?id=CVE-2023-41040,22;664,path traversal,git/refs/symbolic.py:SymbolicReference._get_ref_info_helper,https://github.com/gitpython-developers/GitPythonhttps://github.com/gitpython-developers/GitPythonhttps://github.com/gitpython-developers/GitPythonhttps://github.com/gitpython-developers/GitPythonhttps://github.com/gitpython-developers/GitPython,capability (RC3),no rule (RC1),no rule (RC1),no rule (RC1),rule implementation (RC1),complex d/c-f source (RC2),complex d/c-f source (RC2),dev framework,
https://www.cve.org/CVERecord?id=CVE-2024-41675,79;707,cross-site scripting,ckanext/datatablesview/blueprint.py:ajax,https://github.com/ckan/ckanhttps://github.com/ckan/ckanhttps://github.com/ckan/ckan,hard to detect (RC3),hard_to_detect (RC3),hard to detect (RC3),no rule (RC1),implicit sink (RC3),complex d/c-f source (RC2),no sink (RC1),manage/monitor platform,
https://www.cve.org/CVERecord?id=CVE-2023-41334,77;707,Command Injection,astropy/coordinates/transformations.py:TransformGraph.to_dot_graph,https://github.com/astropy/astropyhttps://github.com/astropy/astropyhttps://github.com/astropy/astropy,detected,no rule (RC1),implementation (RC1),detected,detected,complex d/c-f source (RC2),complex d/c-f source (RC2),dev framework,
https://www.cve.org/CVERecord?id=CVE-2022-21797,"94;664,707",code injection,joblib/parallel.py:Parallel.__call__,https://github.com/joblib/joblibhttps://github.com/joblib/joblibhttps://github.com/joblib/joblib,capability (RC3),detected,detected,no rule (RC1),detected,complex d/c-f source (RC2),complex d/c-f source (RC2),dev framework,
https://www.cve.org/CVERecord?id=CVE-2025-27519,22;664,path traversal,backend/server/routers/internal.py:upload_to_docker_directory,https://github.com/truefoundry/cognitahttps://github.com/truefoundry/cognitahttps://github.com/truefoundry/cognita,detected,no rule (RC1),no rule (RC1),no rule (RC1),no sink (RC1),detected,no sink (RC1),ai app framework,
https://www.cve.org/CVERecord?id=CVE-2024-11662,"94;664,707",code injection,apps/api/views/deploy_api.py:deploy_host_vars,https://github.com/welliamcao/OpsManagehttps://github.com/welliamcao/OpsManagehttps://github.com/welliamcao/OpsManage,detected,detected,detected,no rule (RC1),detected,detected,no source (RC1),manage/monitor platform,
https://www.cve.org/CVERecord?id=CVE-2021-43857,78;707,OS Command Injection,gerapy/server/core/views.py:project_configure; gerapy/server/core/views.py:project_clone; gerapy/server/core/views.py:project_parse,https://github.com/Gerapy/Gerapyhttps://github.com/Gerapy/Gerapyhttps://github.com/Gerapy/Gerapy,implementation (RC1),no rule (RC1),detected,detected,detected,detected,no source (RC1),manage/monitor platform,
https://www.cve.org/CVERecord?id=CVE-2023-38941,94;664;707,code injection,apps/sspanel/admin_views.py:GoodsCreateView.post,https://github.com/Ehco1996/django-sspanelhttps://github.com/Ehco1996/django-sspanelhttps://github.com/Ehco1996/django-sspanelhttps://github.com/Ehco1996/django-sspanelhttps://github.com/Ehco1996/django-sspanel,capability (RC3),detected,detected,no rule (RC1),detected,detected,complex d/c-f source (RC2),manage/monitor platform,
https://www.cve.org/CVERecord?id=CVE-2023-50265,22;664,path traversal,bazarr/app/ui.py:swaggerui_static,https://github.com/morpheus65535/bazarrhttps://github.com/morpheus65535/bazarrhttps://github.com/morpheus65535/bazarr,detected,no rule (RC1),no rule (RC1),no rule (RC1),rule implementation (RC1),detected,no source (RC1),manage/monitor platform,
https://www.cve.org/CVERecord?id=CVE-2023-50264,22;664,path traversal,bazarr/app/ui.py:backup_download,https://github.com/morpheus65535/bazarrhttps://github.com/morpheus65535/bazarrhttps://github.com/morpheus65535/bazarr,detected,no rule (RC1),no rule (RC1),no rule (RC1),rule implementation (RC1),detected,no source (RC1),manage/monitor platform,
https://www.cve.org/CVERecord?id=CVE-2021-41185,22;664,path traversal,mycodo/mycodo_flask/routes_general.py:send_note_attachment; mycodo/mycodo_flask/routes_general.py:camera_img_return_path,https://github.com/kizniche/Mycodohttps://github.com/kizniche/Mycodohttps://github.com/kizniche/Mycodo,detected,no rule (RC1),no rule (RC1),no rule (RC1),rule implementation (RC1),detected,no source (RC1),manage/monitor platform,
https://www.cve.org/CVERecord?id=CVE-2018-1000070,94;664;707,code injection,src/messagetypes/__init__.py:constructObject,https://github.com/Bitmessage/PyBitmessagehttps://github.com/Bitmessage/PyBitmessagehttps://github.com/Bitmessage/PyBitmessage,detected,detected,detected,no rule (RC1),detected,complex d/c-f source (RC2),complex d/c-f source (RC2),dev framework,
https://www.cve.org/CVERecord?id=CVE-2012-4406,502;664,Deserialization,swift/common/memcached.py:MemcacheRing.get; swift/common/memcached.py:MemcacheRing.get_multi,https://github.com/openstack/swifthttps://github.com/openstack/swifthttps://github.com/openstack/swift,implementation (RC1),no rule (RC1),implementation (RC1),no rule (RC1),rule implementation (RC1),complex d/c-f source (RC2),complex d/c-f source (RC2),command line tool,
https://www.cve.org/CVERecord?id=CVE-2024-6345,77;707,Command Injection,setuptools/package_index.py:PackageIndex._download_git; setuptools/package_index.py:PackageIndex._download_hg,https://github.com/pypa/setuptoolshttps://github.com/pypa/setuptoolshttps://github.com/pypa/setuptools,detected,no rule (RC1),detected,detected,detected,detected,complex d/c-f source (RC2),command line tool,
https://www.cve.org/CVERecord?id=CVE-2021-25963,79;707,cross-site scripting,shuup/admin/utils/urls.py:AdminRegexURLPattern._get_unauth_response; shuup/core/basket/command_dispatcher.py:BasketCommandDispatcher.handle; shuup/front/checkout/_process.py:CheckoutProcess.get_current_phase; shuup/front/urls.py:_not_here_yet; shuup/xtheme/views/command.py:command_dispatch; shuup/xtheme/views/editor.py:EditorView.post; shuup/xtheme/views/extra.py:extra_view_dispatch,https://github.com/shuup/shuuphttps://github.com/shuup/shuuphttps://github.com/shuup/shuup,no rule (RC1),no rule (RC1),no rule (RC1),no rule (RC1),implicit sink (RC3),detected,no sink (RC1),manage/monitor platform,
https://www.cve.org/CVERecord?id=CVE-2017-16667,78;707,OS Command Injection,qt4/plugins/notifyplugin.py:NotifyPlugin.on_message,https://github.com/jupyter/nbviewerhttps://github.com/jupyter/nbviewerhttps://github.com/jupyter/nbviewer,detected,no rule (RC1),detected,detected,detected,complex d/c-f source (RC2),complex d/c-f source (RC2),webui,
https://www.cve.org/CVERecord?id=CVE-2025-27787,22;664,path traversal,tabs/settings/sections/restart.py:stop_train,https://github.com/IAHispano/Appliohttps://github.com/IAHispano/Appliohttps://github.com/IAHispano/Applio,detected,no rule (RC1),no rule (RC1),no rule (RC1),rule implementation (RC1),detected,complex d/c-f source (RC2),command line tool,
